"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_pydantic_schema_validation","cases","Fri Apr 24 22:17:14 UTC 2026","passed","Fri Apr 24 22:17:14 UTC 2026","","test_validation","",""
"Тест последовательно подписывается на ['BTC/USD', 'ETH/USD', 'XRP/USD'] и валидирует наличие сообщений по каждому инструменту в отфильтрованном потоке.","3009","test_multiple_tickers_logic","cases","Fri Apr 24 22:17:04 UTC 2026","passed","Fri Apr 24 22:17:07 UTC 2026","","test_multiple_subs","",""
"Тест выполняет массовую подписку на 20 различных инструментов и проверяет плотность входящего потока данных в WebSocket.","3008","test_load_multiple_subscriptions","cases","Fri Apr 24 22:17:01 UTC 2026","passed","Fri Apr 24 22:17:04 UTC 2026","","test_load_lite","",""
"Проверка способности системы восстанавливать стриминг данных после обрыва TCP-сессии без потери подписки на стороне сервера.","520","test_websocket_reconnect_resilient","cases","Fri Apr 24 22:17:11 UTC 2026","passed","Fri Apr 24 22:17:12 UTC 2026","","test_reconnect","",""
"Проверка того, что реальные данные из сокета соответствуют модели","9","test_ws_data_integrity","cases","Fri Apr 24 22:17:14 UTC 2026","passed","Fri Apr 24 22:17:14 UTC 2026","","test_validation","",""
"Валидация математической модели для BTC/USD. Проверяем отсутствие резких скачков (аномалий) в данных.","4013","test_price_delta_consistency","cases","Fri Apr 24 22:17:07 UTC 2026","passed","Fri Apr 24 22:17:11 UTC 2026","","test_price_logic","",""
"","2006","test_subscribe_and_receive_updates_v2","cases","Fri Apr 24 22:17:12 UTC 2026","passed","Fri Apr 24 22:17:14 UTC 2026","","test_ticker_flow","",""
"Тест подписывается на SOL/USD 3 раза и проверяет, что количество сообщений в секунду соответствует настройкам сервера (1 msg/sec), а не количеству подписок.","3611","test_no_extra_traffic_on_duplicate","cases","Fri Apr 24 22:16:58 UTC 2026","passed","Fri Apr 24 22:17:01 UTC 2026","","test_duplicate_subs","",""
"Проверка контракта gRPC на пустые значения","5","test_grpc_validation_empty_ticker","cases","Fri Apr 24 22:17:14 UTC 2026","passed","Fri Apr 24 22:17:14 UTC 2026","","test_validation","",""
