"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест подписывается на SOL/USD 3 раза и проверяет, что количество сообщений в секунду соответствует настройкам сервера (1 msg/sec), а не количеству подписок.","3610","test_no_extra_traffic_on_duplicate","cases","Thu May 21 02:08:33 UTC 2026","passed","Thu May 21 02:08:37 UTC 2026","","test_duplicate_subs","",""
"","2007","test_subscribe_and_receive_updates_v2","cases","Thu May 21 02:08:48 UTC 2026","passed","Thu May 21 02:08:50 UTC 2026","","test_ticker_flow","",""
"Тест выполняет массовую подписку на 20 различных инструментов и проверяет плотность входящего потока данных в WebSocket.","3006","test_load_multiple_subscriptions","cases","Thu May 21 02:08:37 UTC 2026","passed","Thu May 21 02:08:40 UTC 2026","","test_load_lite","",""
"Валидация математической модели для BTC/USD. Проверяем отсутствие резких скачков (аномалий) в данных.","4011","test_price_delta_consistency","cases","Thu May 21 02:08:43 UTC 2026","passed","Thu May 21 02:08:47 UTC 2026","","test_price_logic","",""
"Тест последовательно подписывается на ['BTC/USD', 'ETH/USD', 'XRP/USD'] и валидирует наличие сообщений по каждому инструменту в отфильтрованном потоке.","3010","test_multiple_tickers_logic","cases","Thu May 21 02:08:40 UTC 2026","passed","Thu May 21 02:08:43 UTC 2026","","test_multiple_subs","",""
"","0","test_pydantic_schema_validation","cases","Thu May 21 02:08:50 UTC 2026","passed","Thu May 21 02:08:50 UTC 2026","","test_validation","",""
"Проверка способности системы восстанавливать стриминг данных после обрыва TCP-сессии без потери подписки на стороне сервера.","517","test_websocket_reconnect_resilient","cases","Thu May 21 02:08:47 UTC 2026","passed","Thu May 21 02:08:48 UTC 2026","","test_reconnect","",""
"Проверка того, что реальные данные из сокета соответствуют модели","27","test_ws_data_integrity","cases","Thu May 21 02:08:50 UTC 2026","passed","Thu May 21 02:08:50 UTC 2026","","test_validation","",""
"Проверка контракта gRPC на пустые значения","7","test_grpc_validation_empty_ticker","cases","Thu May 21 02:08:50 UTC 2026","passed","Thu May 21 02:08:50 UTC 2026","","test_validation","",""
