"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_pydantic_schema_validation","cases","Fri Apr 24 23:12:07 UTC 2026","passed","Fri Apr 24 23:12:07 UTC 2026","","test_validation","",""
"Проверка того, что реальные данные из сокета соответствуют модели","7","test_ws_data_integrity","cases","Fri Apr 24 23:12:07 UTC 2026","passed","Fri Apr 24 23:12:07 UTC 2026","","test_validation","",""
"Проверка контракта gRPC на пустые значения","6","test_grpc_validation_empty_ticker","cases","Fri Apr 24 23:12:07 UTC 2026","passed","Fri Apr 24 23:12:07 UTC 2026","","test_validation","",""
"Тест выполняет массовую подписку на 20 различных инструментов и проверяет плотность входящего потока данных в WebSocket.","3008","test_load_multiple_subscriptions","cases","Fri Apr 24 23:11:54 UTC 2026","passed","Fri Apr 24 23:11:58 UTC 2026","","test_load_lite","",""
"Тест подписывается на SOL/USD 3 раза и проверяет, что количество сообщений в секунду соответствует настройкам сервера (1 msg/sec), а не количеству подписок.","3615","test_no_extra_traffic_on_duplicate","cases","Fri Apr 24 23:11:51 UTC 2026","passed","Fri Apr 24 23:11:54 UTC 2026","","test_duplicate_subs","",""
"","2007","test_subscribe_and_receive_updates_v2","cases","Fri Apr 24 23:12:05 UTC 2026","passed","Fri Apr 24 23:12:07 UTC 2026","","test_ticker_flow","",""
"Проверка способности системы восстанавливать стриминг данных после обрыва TCP-сессии без потери подписки на стороне сервера.","516","test_websocket_reconnect_resilient","cases","Fri Apr 24 23:12:05 UTC 2026","passed","Fri Apr 24 23:12:05 UTC 2026","","test_reconnect","",""
"Тест последовательно подписывается на ['BTC/USD', 'ETH/USD', 'XRP/USD'] и валидирует наличие сообщений по каждому инструменту в отфильтрованном потоке.","3012","test_multiple_tickers_logic","cases","Fri Apr 24 23:11:58 UTC 2026","passed","Fri Apr 24 23:12:01 UTC 2026","","test_multiple_subs","",""
"Валидация математической модели для BTC/USD. Проверяем отсутствие резких скачков (аномалий) в данных.","4013","test_price_delta_consistency","cases","Fri Apr 24 23:12:01 UTC 2026","passed","Fri Apr 24 23:12:05 UTC 2026","","test_price_logic","",""
